,Acklins_Island,Antigua,Barbados,Barbuda,Cat_Island,Crooked_Island,Cuba,Dominica,East_Caicos,Eleuthera,Gonave_Island,Grand_Bahama_Island,Grand_Cayman,Great_Abaco_Island,Great_Exuma,Great_Inagua_Island,Grenada,Guadeloupe,Hispaniola,Isla_de_la_Juventud,Jamaica,Little_Inagua,Long_Island,Mangrove_Cay,Martinique,Mayaguana,Middle_Caicos,Montserrat,New_Providence,North_Andros,North_Caicos,Providenciales,Puerto_Rico,Saint_Croix,Saint_Kitts,Saint_Louis,Saint_Lucia,Saint_Martin,Saint_Vincent,San_Salvador_Island,South_Andros,St._Thomas,Tortuga,Vieques
Gonave_Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand_Bahama_Island,NA,0,0.5,NA,0.5,NA,0,0.5,0,0,NA,NA,0,0,0,NA,NA,0.5,0,0,0,NA,0.5,0.5,0.5,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,NA,0
Grand_Cayman,NA,0,0.5,NA,0.5,NA,0,0.5,0,0,NA,0,NA,0,0,NA,NA,0.5,0,0,0,NA,0.5,0.5,0.5,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,NA,0
Great_Abaco_Island,NA,0,0.5,NA,0,NA,0,0.5,0,0,NA,0,0,NA,0,NA,NA,0.5,0.333333333,0.333333333,0,NA,0,0,0.5,NA,0,0,0,0,0,0,0.333333333,0,0,0,0.5,0,1,0,0,0,NA,0
Great_Exuma,NA,0,0.5,NA,0,NA,0,0.5,0,0,NA,0,0,0,NA,NA,NA,0.5,0.333333333,0.333333333,0,NA,0,0,0.5,NA,0,0,0,0,0,0,0.333333333,0,0,0,0.5,0,1,0,0,0,NA,0
Great_Inagua_Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadeloupe,NA,0,0,NA,0.5,NA,0.5,0,0,0.5,NA,0.5,0.5,0.5,0.5,NA,NA,NA,0,0.5,0.5,NA,0.5,0.5,0,NA,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,0.5,NA,0
Hispaniola,NA,0,0,NA,0.5,NA,0.5,0,0,0.333333333,NA,0,0,0.333333333,0.333333333,NA,NA,0,NA,0.333333333,0,NA,0.5,0.5,0,NA,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,1,0,NA,0
Isla_de_la_Juventud,NA,0,0.5,NA,0.5,NA,0,0.5,0,0.333333333,NA,0,0,0.333333333,0.333333333,NA,NA,0.5,0.333333333,NA,0,NA,0.5,0.5,0.5,NA,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0.5,0,1,0,1,0,NA,0
Jamaica,NA,0,0.5,NA,0.5,NA,0,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0,0,NA,NA,0.5,0.5,0.5,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,NA,0
Little_Inagua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long_Island,NA,0,0.5,NA,0,NA,0,0.5,0,0,NA,0.5,0.5,0,0,NA,NA,0.5,0.5,0.5,0.5,NA,NA,0,0.5,NA,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,1,0.5,0,0.5,NA,0
Mangrove_Cay,NA,0,0.5,NA,0,NA,0,0.5,0,0,NA,0.5,0.5,0,0,NA,NA,0.5,0.5,0.5,0.5,NA,0,NA,0.5,NA,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,1,0.5,0,0.5,NA,0
Martinique,NA,0,0,NA,0.5,NA,0.5,0,0,0.5,NA,0.5,0.5,0.5,0.5,NA,NA,0,0,0.5,0.5,NA,0.5,0.5,NA,NA,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,0.5,NA,0
Mayaguana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle_Caicos,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0
Montserrat,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0
New_Providence,NA,0,0.5,NA,0,NA,0,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0.333333333,0.333333333,0,NA,0,0,0.5,NA,0,0,NA,0,0,0,0.333333333,0,0,0,0.5,0,1,0,0,0,NA,0
North_Andros,NA,0,0.5,NA,0,NA,0,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0.333333333,0.333333333,0,NA,0,0,0.5,NA,0,0,0,NA,0,0,0.333333333,0,0,0,0.5,0,1,0,0,0,NA,0
North_Caicos,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,NA,0
Providenciales,NA,0,0.5,NA,0.5,NA,0,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0,0,0,NA,0.5,0.5,0.5,NA,0,0,0,0,0,NA,0,0,0,0,0.5,0,1,0,1,0,NA,0
Puerto_Rico,NA,0,0,NA,0.5,NA,0.333333333,0,0,0.333333333,NA,0,0,0.333333333,0.333333333,NA,NA,0,0,0.333333333,0,NA,0.5,0.5,0,NA,0,0,0.333333333,0.333333333,0,0,NA,0,0,0,0,0,0,0,1,0,NA,0
Saint_Croix,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,1,0,NA,0
Saint_Kitts,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,0,NA,0
Saint_Louis,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,1,0,NA,0
Saint_Lucia,NA,0,0,NA,0.5,NA,0.5,0,0,0.5,NA,0.5,0.5,0.5,0.5,NA,NA,0,0,0.5,0.5,NA,0.5,0.5,0,NA,0,0,0.5,0.5,0,0.5,0,0,0,0,NA,0,0,0.5,1,0.5,NA,0
Saint_Martin,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,NA,0
Saint_Vincent,NA,1,0,NA,1,NA,1,0,1,1,NA,1,1,1,1,NA,NA,0,0,1,1,NA,1,1,0,NA,1,1,1,1,1,1,0,1,1,1,0,1,NA,1,1,1,NA,1
San_Salvador_Island,NA,0,0.5,NA,0.5,NA,0,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0,0,0,NA,0.5,0.5,0.5,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,1,NA,1,0,NA,0
South_Andros,NA,1,1,NA,0,NA,0,1,1,0,NA,1,1,0,0,NA,NA,1,1,1,1,NA,0,0,1,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1
St._Thomas,NA,0,0.5,NA,0.5,NA,0,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0,0,0,NA,0.5,0.5,0.5,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,NA,NA,0
Tortuga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vieques,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA
